COST CENTER,COST CENTER NAME
4120,FINANCE DEPARTMENT-ACCOUNTING
4130,FINANCE DEPARTMENT-AUDITING
4140,FINANCE DEPARTMENT-REVENUE
4150,FINANCE DEPARTMENT-BUDGETING
4400,INFORMATION SERVICES
4490,IS- COMPUTERIZED SYSTEMS
4500,PURCHASING
4610,HUMAN RESOURCES-CIVIL SERVICE ADMINISTRA
4611,HUMAN RESOURCES-TRAINING & EMPLOYEE DEVE
4612,HUMAN RESOURCES-EMPLOYEE RELATIONS
4630,RISK MANAGEMENT
4800,RETIREMENT OFFICE
5010,POLICE DEPARTMENT-ADMINISTRATION
5013,POLICE-US DEPT OF JUSTICE GRANTS
5020,POLICE DEPARTMENT-UNIFORM PATROL BUREAU
5050,"POLICE DEP-OPERATIONAL SVC, COMMUN, SPEC"
5060,POLICE DEPARTMENT-CRIMINAL INVESTIGATION
5070,POLICE DEPARTMENT-DEDICATED FUNDS
5071,LA COMMISSION ON LAW ENFORCEMENT
5072,LA HIGHWAY SAFETY COMMISSION
5099,MINT PROGRAM INCOME
5110,FIRE DEPARTMENT-ADMINISTRATION
5111,FIRE DEPARTMENT - FEMA GRANT
5120,FIRE DEPARTMENT-FIRE SUPPRESSION & PREVE
5140,FIRE DEPARTMENT-SPECIAL SERVICES
5210,EMS-EMERGENCY MEDICAL SERVICES DIVISION
5230,EMS-EBRP COMMUNICATIONS DISTRICT
5240,EMS-PRISON MEDICAL SERVICES
5310,JUVENILE SERVICES-ADMINISTRATION
5320,JUVENILE SERVICES-PROBATION AND FAMILY S
5330,JUVENILE SERVICES-DETENTION FACILITY
5400,OFC. OF HOMELAND SECURITY & EMERG PREPAR
5453,EMERGENCY PREPAREDNESS - LA DEPT. OF MIL
5510,RIVERSIDE CENTROPLEX-ADMINISTRATION
5550,RIVERSIDE CENTROPLEX - CAPITAL PROGRAMS
5600,MUNICIPAL FIRE & POLICE CIVIL SERVICE BO
6001,HUMAN DEVELOPMENT AND SERVICES - ADMINIS
6021,US DEPARTMENT OF HEALTH AND HUMAN SERVIC
6043,LA DEPARTMENT OF EDUCATION
6044,LA DEPARTMENT OF EMPLOYMENT AND TRAINING
6055,LA DEPT OF LABOR (USED FOR WIA)
6058,DHDS - LA HOUSING FINANCE AGENCY
6087,"LACAP, INC"
6095,HEADSTART - NON OBLIGATORY FUNDS
6099,LOCAL (CITY-PARISH FUNDS)
6114,US DEPARTMENT OF HOUSING AND URBAN DEVEL
6158,COMM DEVEL. - METRO SHARE GRANT
6199,LOCAL FUNDS
7001,DPW-ADMINISTRATION
7003,DPW-ENGINEERING
7004,DPW-WAREHOUSE
7005,DPW-CITIZENS SERVICE
7006,DPW-PARKING GARAGE
7007,DPW-ARCHITECTURAL SERVICES
7010,DPW-PUBLIC BUILDING MAINTENANCE
7020,DPW-INSPECTION
7025,DPW-TRAFFIC ENGINEERING
7030,DPW-NORTH LOT
7031,DPW-EAST LOT
7032,DPW-SOUTH LOT
7034,DPW-STREET OPERATIONS
7040,DPW-STATE HIGHWAY MAINTENANCE
7053,DPW-LA OFFICE OF MILITARY AFFAIRS GRANTS
7054,DPW - DEQ GRANTS
7060,DPW-SOLID WASTE
7070,SEWERAGE
7071,SWWTP ADMINISTRATION
7079,EPA GRANT OPERATIONS
7090,CENTRAL GARAGE
7100,STREET LIGHTING
7120,T&D-ADMINISTRATION
7121,T&D-ENGINEERING
7122,T&D-FIELD ENGINEERING
7123,T&D-TRAFFIC ENGINEERING
7124,T&D-STREET LIGHTING
7126,T&D-PAR TRANSP - BEAUTIFICATION
7210,ROAD REHABILITATION PROGRAM - CITY PARIS
7220,ROAD REHABILITATION PROGRAM - CENTRAL
7250,ROAD & STREET IMPROVEMENTS - 1/2 CENT SA
7260,GREEN LIGHT PROGRAM ROAD & STREETS IMPRO
7262,GLP - TRANSPORTAION PROGRAM ADMINISTRATI
7263,CENTRAL THRUWAY PHASES
7300,DEMOLITION PROGRAM
7310,DEV-ADMINISTRATION
7311,DEV-SUBDIVISIONS
7312,DEV-PERMITS & INSPECTIONS
7313,DEV-BLIGHT ENFORCEMENT/NEIGHBOR REVITAL
7505,PRIORITY BUILDING IMPROVEMENTS
7506,MISCELLANEOUS INFRASTRUCTURE IMPROVEMENT
7507,MISCELLANEOUS PUBLIC WORKS PROJECTS
7510,CONSTRUCTION PROJECTS - PUBLIC BUILDINGS
7520,CONSTRUCTION PROJECTS - LOCALLY FINANCED
7530,DRAINAGE IMPROVEMENTS - PHASE I
7540,URBAN SYSTEMS
7545,PAR TRANS FUND - CAPITAL IMPROVEMENTS PR
7546,RIVER FRONT IMPROVEMENT PROJECTS
7548,LA DEPARTMENT OF TRANSPORTATION AND DEVE
7550,DPW-STREET & INTERSECTION IMPROVEMENTS
7551,DPW-STREET & INTERSECTION IMPROVEMENTS (
7561,SLD WST DISP - PURCHASE OF REFUSE CONTAI
7570,CONSTRUCTION PROJECTS-SEWER IMPROVEMENTS
7576,SSO ADMINISTRATION
7577,SSO CONSTRUCTION/IMPROVEMENT PROJECTS
7578,SSO IMPROVEMENT PROJECTS/REVISED RMAP 2
7579,EPA GRANT CONSTRUCTION
7601,BUS&CAP-ADMINISTRATION
7602,BUS&CAP-WORKFORCE DEVELOPMENT
7603,BUS&CAP-WAREHOUSE
7604,BUS&CAP-311 CALL CENTER
7605,BUS&CAP-PARKING GARAGE
7701,MAINT-ADMINISTRATION
7702,MAINT-LANDSCAPE MAINTENANCE
7703,MAINT-STREET MAINTENANCE
7704,MAINT-DRAINAGE MAINTENANCE
7705,MAINT-MISC PUB WORKS PROJECTS
7801,B&G-ADMINISTRATION
7802,B&G-ARCHITECTURAL SERVICES
7803,B&G-PUBLIC BUILDING MAINT
7804,B&G-BUILDING MAINT - PRISON
7805,B&G-PRIORITY BUILDING IMPROVEMENTS
7901,FLEET MGT- CENTRAL GARAGE
7902,FLEET MGT- FLEET MAINTENANCE
8020,EBR HEALTH UNIT
8071,COOPERATIVE EXTENSION SERVICE
8073,BIG BUDDY PROGRAM
8083,CAPITAL REGION PLANNING COMMISSION
