VENDOR NUMBER,VENDOR NAME 1,VENDOR ADDRESS 1,VENDOR NAME 2,VENDOR ADDRESS 2,VENDOR CITY,VENDOR STATE,VENDOR ZIP,VENDOR COUNTRY,VENDOR CONTACT NAME,VENDOR CONTACT TITLE,VENDOR CONTACT PHONE,VENDOR CONTACT EXTENSION,VENDOR MINORITY CODE
541,BOZEMAN DISTRIBUTORS & MANUFACTURER,11150 AIRLINE HWY,,,BATON ROUGE,LA,70816-6000,UNITED STATES,BRYAN J GUILLOT,PRESIDENT,,,
542,BRADLEY-BLEWSTER & ASSOCIATES,8026 PICARDY AVE,,,BATON ROUGE,LA,70809,UNITED STATES,LYNN BRADLEY,PRESIDENT,,,NON-M WBE
549,BREAZEALE SACHSE & WILSON,301 MAIN ST,ATTORNEYS AT LAW,ONE AMERICAN PL FL 23RD,BATON ROUGE,LA,70801-1916,UNITED STATES,LAURETTE W BARBIER,ACCOUNTING MGR,,146,
557,BRIGGS EQUIPMENT,7954 AIRLINE HWY,INDUSTRIAL SUPPLY DIV,,BATON ROUGE,LA,70815,UNITED STATES,KATHERINE WEAVER,A/R SUPERVISOR,,6140,
572,BROWNELLS INC,RR 2 BOX 1,,,MONTEZUMA,IA,50171-8701,UNITED STATES,PATRICIA SMITH,GOV'T SALES,,445,
579,BUCKELEWS FOOD EQUIPMENT CO INC,PO BOX 15586,,,BATON ROUGE,LA,70895-5586,UNITED STATES,HENRY HUNSICKER,PRESIDENT,,,
607,BYRON E TALBOT CONTRACTOR INC,301 MAIN PROJECT RD,,,SCHRIEVER,LA,70395-9797,UNITED STATES,BYRON E TALBOT,PRESIDENT,,15,
622,C F BIGGS CO INC,11924 SUNRAY AVENUE SUITE B,,,BATON ROUGE,LA,70816,UNITED STATES,,,,,
627,C P T OF BATON ROUGE INC,6971 EXCHEQUER DRIVE,,,BATON ROUGE,LA,70818,UNITED STATES,VIRGIL K KRAY,GENERAL MGR,,,NON-M WBE
636,C-K ASSOCIATES INC,17170 PERKINS RD,,,BATON ROUGE,LA,70810-3817,UNITED STATES,LUCY COBB,ACCT MGR,,,
642,CAJUN CONSTRUCTORS INC,PO BOX 104,,,BATON ROUGE,LA,70821,UNITED STATES,MARY LYNN JONES,ASST CONTROLLER,,,
643,CAJUN OFFICE SUPPLIES INC,7532 SHOEWSBURY AVE,,,BATON ROUGE,LA,70808,UNITED STATES,SAM SHAH,SEC/TREAS,,,SBM
654,CDM SMITH INC,445 NORTH BLVD STE 850,,,BATON ROUGE,LA,70815,UNITED STATES,GASPER CHIFICI,ASSOCIATE,,,
659,CAPITAL AREA UNITED WAY,700 LAUREL ST,,,BATON ROUGE,LA,70802,UNITED STATES,MARLENE RHODUS,FIN/MIS ASST,,,
661,CAPITAL BEDDING CO INC,1550 CHOCTAW DR,,,BATON ROUGE,LA,70805-7756,UNITED STATES,DOUG GRAND,PRESIDENT,,,
669,ATLAS HOSE & GASKET CO LLC,4435 PLANK ROAD,FORMERLY CAPITAL RUBBER & SPECIALTY,,BATON ROUGE,LA,70805,UNITED STATES,CHARLES LOTT,VICE PRES,,,
672,CAPITOL CYCLERY,8424 FLORIDA BLVD,,,BATON ROUGE,LA,70806-4838,UNITED STATES,RAFAEL DECASTRO,MANAGER,,,
690,CASCO INDUSTRIES INC,607 W 62ND ST,,,SHREVEPORT,LA,71106-2913,UNITED STATES,DOUG SCHAUMBURG,SALES MANAGER,,,
700,CAYARDS INC,4215 CHOCTAW DR,,,BATON ROUGE,LA,70805,UNITED STATES,JAMES DELLAFIORA,PRESIDENT,,,
703,CENIKOR FOUNDATION,2414 BUNKER HILL,,,BATON ROUGE,LA,70808,UNITED STATES,GEORGE MILLS,,,,
718,CENTRAL RENT-ALL & OPE SALES INC,9156 JOOR RD,CENTRAL OUTDOOR POWER SALE,,CENTRAL,LA,70818-4901,UNITED STATES,MIKE HOWELL,PRESIDENT,,,
723,NCH CORPORATION,P O BOX 152170,D/B/A CERTIFIED LABORATORIES,,IRVING,TX,75015,UNITED STATES,BID MANAGER,,,,
725,CHAMBERS CONSTRUCTION CO INC,18287 SWAMP RD,,,PRAIRIEVILLE,LA,70769-3315,UNITED STATES,WILLIAM L CHAMBERS SR,PRESIDENT,,,
742,CHARLIE H BRIDGES MD FACS PC,7777 HENNESSY BLVD STE 608,,,BATON ROUGE,LA,70808-4369,UNITED STATES,CHARLES H BRIDGES MD,PHYSICIAN,,,MN
754,CSRS INC,6767 PERKINS RD STE 200,,,BATON ROUGE,LA,70808-4263,UNITED STATES,TONI PALERMO,ACCOUNTANT,,,
802,COASTAL BRIDGE COMPANY LLC,4825 JAMESTOWN AVE,,,BATON ROUGE,LA,70808,UNITED STATES,C E MILNER JR,VICE PRESIDENT,,,
838,COMPUTROLS INC,221 BARK DR BLDG C-5,,,HARVEY,LA,70058,UNITED STATES,BONNIE L FREY,CELL,,,
844,CONSOLIDATED ELECTRICAL DISTRIBUTORS,15505 KNOX DRIVE,CED,,BATON ROUGE,LA,70817,UNITED STATES,SALES - INSIDE,,,,
848,CONSTRUCTION SERVICES,PO BOX 4088,,,BATON ROUGE,LA,70821-4088,UNITED STATES,MICHAEL BOSWORTH,CREDIT MANAGER,,,
857,CONTRACTORS SUPPLY & EQUIPMENT,14020 AIRLINE HWY SUITE A,COMPANY LLC,,BATON ROUGE,LA,70817,UNITED STATES,CHARLES L STEELE,PRESIDENT,,,
859,CONTROL SYSTEMS INC,909 QUINN ST,,,JACKSON,MS,39202-2740,UNITED STATES,BOBBY J GILL,VICE PRESIDENT,,,
870,CORPORATE LOGOS INC,PO BOX 11634,,,SPRING,TX,77391-1634,UNITED STATES,ROX DOWNING,PRESIDENT,,,
873,CORR TECH INC,1124 W ORICE ROTH RD,,,GONZALES,LA,70737-3796,UNITED STATES,DAMON TOWNSLEY,BRANCH MANAGER,,,
895,CRAWLER SUPPLY CO LLC,6413 AIRLINE HWY,,,BATON ROUGE,LA,70805-3212,UNITED STATES,CHRIS WADE,RENTAL MGR,,,
914,CURTIS VINCENT PHD MP,8856 COTTAGE AVE,MEDICAL PSYCHOLOGIST,,BATON ROUGE,LA,70806,UNITED STATES,EVE MALONE,,,,
922,D & L PUMPS INC,2728 N ARNOULT RD,,,METAIRIE,LA,70002-5916,UNITED STATES,PAUL DU TREIL,PRESIDENT,,,
923,D & W SYSTEMS SALES INC,PO BOX 599,,,RIDGELAND,MS,39158,UNITED STATES,JERRY WHITTINGTON,SALES,,,
964,MAXIMUS,940 N TYLER RD SUITE 204,,,WICHITA,KS,67212,UNITED STATES,BETTY ARMSTRONG,VICE PRESIDENT,,,
969,DAVIS & SONS FENDER FIXER INC,14067 JOOR RD,,,BATON ROUGE,LA,70818-1108,UNITED STATES,MARVIN DAVIS,PRESIDENT,,,
971,EVOQUA WATER TECHNOLOGIES LLC,4800 N POINT PKWYAD,,,ALPHARETTA,GA,30005,UNITED STATES,**FORMERLY SIEMENS/CHANGED,,,,
983,DEJOHNS ELECTRICAL SALES,4204 EVAN BROOKS DR,,,BATON ROUGE,LA,70814-5007,UNITED STATES,PETE DEJOHN,PRESIDENT,,,
988,DELL INC,ONE DELL WAY RR-MS41,ATTN STACEY ANDREWARTHA,,ROUND ROCK,TX,78682,UNITED STATES,PHILLIP DOMINGUE,,,,
991,BRENNTAG SOUTHWEST,7200 HWY 74,,,ST GABRIEL,LA,70776,UNITED STATES,TONI WAITES,CUSTOMER SER,,,
993,DELTA PROCESS EQUIPMENT INC,8275 FLORIDA BLVD,,,DENHAM SPRINGS,LA,70726,UNITED STATES,WAYNE GUY,PRESIDENT,,,
996,DEMCO,PO BOX 7488,,,MADISON,WI,53707-7488,UNITED STATES,DEB BRIGGS,CLERK,,,
1008,FRANK J DGEROLAMO,12760 ROAN AVE,D/B/A DESIGN LIGHTING & ELECTRICAL,,BATON ROUGE,LA,70810,UNITED STATES,FRANK J D'GEROLAMO,OWNER,,,
1016,DIAMOND ELECTRICAL CO INC,13050 AIRLINE HIGHWAY,,,BATON ROUGE,LA,70817,UNITED STATES,DOUG SIMS,,,,
1020,DICK ROUNDTREE COPIERS INC,7195 SCOBELL DR,,,BATON ROUGE,LA,70806-1502,UNITED STATES,RICHARD C ROUNDTREE,PRESIDENT,,,
1033,DITCH WITCH OF SOUTH LOUISIANA,36202 HWY 30,,,GEISMAR,LA,70734,UNITED STATES,STEVE JESTER,OWNER/PRESIDENT,,,
1037,DIXIE ELECTRIC MEMEBERSHIP CO-OP,16262 WAX RD,DEMCO,,GREENWELL SPRINGS,LA,70739-4964,UNITED STATES,TURK TYNES,MANAGER,,396,
1045,DOLESE BROTHERS CO,1897 HIGHWAY 63,SAND & GRAVEL,,PINE GROVE,LA,70453-7513,UNITED STATES,JEFFREY C SEELIGER,MANAGER,,,
1059,DOUGLAS FLOORING,6446 RENOIR AVE,,,BATON ROUGE,LA,70806-2028,UNITED STATES,JUDY DOUGLAS,OWNER,,,
1079,DUNCAN PARKING TECHNOLOGIES INC,125 W INDUSTRIAL PARK RD SUITE 1A,A DIV OF DUNCAN SOLUTIONS,,HARRISON,AR,72601,UNITED STATES,SEE V#56757/MERGED W/ENFORCEME,NT,,,
1105,EARL K LONG MEDICAL CENTER,5825 AIRLINE HWY,ATTN FINANCE DEPT,,BATON ROUGE,LA,70805-2498,UNITED STATES,DENISE DANDRIDGE,,,,
1115,ECONOMICAL JANITORIAL & PAPER,1420 F SAMS AVE,SUPPLIES INC,,HARAHAN,LA,70123,UNITED STATES,SUZI,CELL,,,UNKNOWN
1135,OVIVO USA LLC,4255 LAKE PARK BLVD STE 100,FORMERLY EIMCO WATER TECH,,SALT LAKE CITY,UT,84120,UNITED STATES,PHILLIP RATEAU,TREASURER,,,
1140,ELECTRONIC BUSINESS SYSTEMS INC,12113 INDUSTRIPLEX BLVD,,,BATON ROUGE,LA,70809-3402,UNITED STATES,JAMES E WAX,PRESIDENT-OWNER,,,
1142,EMCO TECHNOLOGIES,8900 SOUTH CHOCTAW DRIVE,,,BATON ROUGE,LA,70815,UNITED STATES,JANICE PELLAR,PRESIDENT,,,NON-M WBE
1154,EMPLOYMENT DEVELOPMENT SERVICES INC,PO BOX 15447,EDS,,BATON ROUGE,LA,70895-5447,UNITED STATES,TED J BORDELON,EXEC DIR,,,
1158,ENTEK ENVIRONMENTAL LABORATORIES INC,14285 AIRLINE HWY,,,BATON ROUGE,LA,70817-6232,UNITED STATES,SHAM L SACHDEV,PRESIDENT,,,ASN-PAC AM
1159,ENTENMANN-ROVIN CO,2425 GARFIELD AVE,,,LOS ANGELES,CA,90040-1811,UNITED STATES,MILDRED TANAKA,GENERAL MANAGER,,,
1172,ERO MAINTENANCE INC,2929 FLORIDA BLVD,,,BATON ROUGE,LA,70802,UNITED STATES,TONY TOWNSEND,CELL,,,
1185,EXCELLANCE INC,453 LANIER RD,,,MADISON,AL,35758,UNITED STATES,CHARLIE EPPS,PRESIDENT,,,
1202,F G SULLIVAN JR CONTRACTOR LLC,POST OFFICE BOX 15196,,,BATON ROUGE,LA,70895-5196,UNITED STATES,GARY L SULLIVAN,GEN MGR,,,
1203,JBT AEROTECH JETWAY SYSTEMS,1805 WEST 2550 SOUTH,,,OGDEN,UT,84401,UNITED STATES,KARI HAMMON,,,,
1207,FAIR ENGINEERING SALES INC,13405 SEYMOUR MYERS BLVD STE 9,,,COVINGTON,LA,70433,UNITED STATES,FABIAN DANIEL,CELL,,,MNW
1209,FAIRBANKS SCALES,216 PLAUCHE CT,DBA FAIRBANKS INC,,HARAHAN,LA,70123-4134,UNITED STATES,LUCIAN JARREAU,SERVICE MANAGER,,,
1220,FERRARA FIRE APPARATUS INC,27855 JAMES CHAPEL ROAD NORTH,,,HOLDEN,LA,70744,UNITED STATES,**REMIT TO ADDRESS CHNGE 8/14/,17**,,,
1222,FERRIS ENGINEERING & SURVEYING INC,11854 BRICKSOME AVENUE,,,BATON ROUGE,LA,70816-4361,UNITED STATES,RONALD K FERRIS,PRESIDENT,,,
1231,FIRE TECH INC,1984 COURT ST,,,PORT ALLEN,LA,70767-2501,UNITED STATES,MICHAEL DAVID SR,OWNER,,,
1236,FITNESS EXPO - COMMERCIAL,4124 VETERANS BLVD,,,METAIRIE,LA,70002,UNITED STATES,PAUL BROUSSARD,SALES,,,
1247,FLUID DYNAMICS INC,295 DEKALB PIKE,,,NORTH WALES,PA,19454,UNITED STATES,GERRY BRISTOW,OFFICE MANAGER,,,
1254,FORBY CONTRACTING INC,34363 SWEDE ALLEY,,,HINCKLEY,MN,55037,UNITED STATES,RONALD BRANT,SEC/TREAS,,,
1258,FORMOSA COMPUTERS,9585 AIRLINE HWY,,,BATON ROUGE,LA,70815-5557,UNITED STATES,MIKE LEU,VICE PRESIDENT,,,UNKNOWN
1261,FORTE & TABLADA INC,9107 INTERLINE AVE,,,BATON ROUGE,LA,70809-1906,UNITED STATES,BOBBIE WILLIAMS,BOOKKEEPER,,,NON-M WBE
1272,FRANKLIN PRESS INC,PO BOX 1269,,,BATON ROUGE,LA,70821-1269,UNITED STATES,J H MARTIN,SALES REP,,,
1282,FRIEDRICHS CUSTOM MANUFACTURING INC,303 BUTTERWORTH ST,,,NEW ORLEANS,LA,70121-3238,UNITED STATES,WYNNE P FRIEDRICHS,PRESIDENT,,,
1283,FROST-BARBER INC,9322 INTERLINE AVE,,,BATON ROUGE,LA,70809-1966,UNITED STATES,,,,,
1295,G N GONZALES LLC,666 CHIPPEWA ST,,,BATON ROUGE,LA,70805-7690,UNITED STATES,GEORGE N GONZALES JR,PRESIDENT,,,
1309,GARNEY COMPANIES INC,1331 N W VIVION RD,,,KANSAS CITY,MO,64118-4554,UNITED STATES,**REOPENED/REC UPDATED W-9,,,,
1312,GAS UTILITY DISTRICT NO 1 OF EBRP,10633 GREENWELL SPRG PORT HUDSON RD,,,ZACHARY,LA,70791,UNITED STATES,RANDALL CROFT,OPERATIONS MGR,,,
1317,GAYLORD ARCHIVAL,PO BOX 4901,,,SYRACUSE,NY,13221-4901,UNITED STATES,DANA KNAPP,,,301,
1327,GENERAL PAPER CO INC,11091 AIRLINE HIGHWAY,,,BATON ROUGE,LA,70816,UNITED STATES,TODD GERALD,PRESIDENT AND,,,NON-M WBE
1342,GERRY LANE BUICK GMC LLC,6615 FLORIDA BLVD,,,BATON ROUGE,LA,70806,UNITED STATES,KATHY MAYEAUX,,,,AMER IND
1343,GERRY LANE CHEVROLET,6505 FLORIDA BLVD,,,BATON ROUGE,LA,70806-4496,UNITED STATES,JIM GRIFFIN,SERVICE ADM,,278,AMER IND
1345,GILMORE & SON CONSTRUCTION CORP,26904 JAMES CHAPEL RD N,,,HOLDEN,LA,70744-5219,UNITED STATES,JAMES A GILMORE,PRESIDENT,,,
1363,GOTECH INC,8383 BLUEBONNET BLVD,,,BATON ROUGE,LA,70810-2826,UNITED STATES,RHAOUL A GUILLAUME  P E,PRESIDENT,,,MN
1375,GRADY CRAWFORD CONSTRUCTION CO INC,12290 GREENWELL SPRINGS RD,,,BATON ROUGE,LA,70814,UNITED STATES,GRADY CRAWFORD,SECR/TREASURER,,,
1383,ALL STAR CHEVROLET NORTH LLC,9352 PLANK RD,FORMERLY GRAVES CHEVROLET,,BATON ROUGE,LA,70811,UNITED STATES,WILLARD MANUEL,SERVICE MGR,,,
1399,GUARANTEE RESTORATION SERVICES LLC,11811 DUNLAY LN,,,BATON ROUGE,LA,70809,UNITED STATES,STEPHANIE MAYEAUX,,,,UNKNOWN
1400,GUARANTY BROADCASTING COMPANY,929 GOVERNMENT ST,WDGL - FM,,BATON ROUGE,LA,70802-6034,UNITED STATES,GILBERT KEY,VICE PRESIDENT,,,
1401,GUIDRYS UNIFORMS INC,3909 A MOSS ST,,,LAFAYETTE,LA,70507-4533,UNITED STATES,TOM MEAGHER,PRESIDENT,,,
1403,GULF COAST AERIAL MAPPING CO INC,4242 HARDING BLVD,,,BATON ROUGE,LA,70807-5231,UNITED STATES,ED FOSTER,PRESIDENT,,,
1404,GULF COAST EVENT SERVICES,17257 HWY 44 UNIT 2,,,PRAIRIEVILLE,LA,70769,UNITED STATES,JOE VUCI SR,CELL,,,
1406,GULF INSTRUMENT SERVICE INC,101 BROOKHOLLOW ESPLANDE,,,NEW ORLEANS,LA,70123-5101,UNITED STATES,CHARLES RIHNER,PRESIDENT,,,
1414,GULF STATES DISTRIBUTORS,6000 E SHIRLEY LN STE A,,,MONTGOMERY,AL,36117,UNITED STATES,CONRAD NAFTEL,VICE PRES,,,
1415,GULF STATES ENGINEERING CO INC,11814 MARKET PLACE AVE SUITE B,,,BATON ROUGE,LA,70816,UNITED STATES,ANDREW DRESSEL,SALE ENGINEER,,,
1416,ENTERGY,PO BOX 2431,,,BATON ROUGE,LA,70821-2431,UNITED STATES,JIM GLASCOCK,INDUST SVC REP,,2264,
1422,GUY HOPKINS CONSTRUCTION CO INC,13855 W AMBER AVE,,,BATON ROUGE,LA,70809-5437,UNITED STATES,CORI DEPRATO,OFFICE MGR,,,
1431,HACH COMPANY,5600 LINDBERGH DR,,,LOVELAND,CO,80538,UNITED STATES,LORETTA SILESKI,SALES SPEC,,2371,
1433,HAGAN FENCE CO,13616 FLORIDA BLVD,,,BATON ROUGE,LA,70819,UNITED STATES,ED B JONES,V P & GEN MGR,,,
1438,HALL SIGNS INC,4495 W VERNAL PIKE,,,BLOOMINGTON,IN,47402-0515,UNITED STATES,LARRY W HALL,PRESIDENT,,134,
1446,INFOR PUBLIC SECTOR INC,13560 MORRIS ROAD SUITE 4100,FOMERLY HANSEN INFORMATION TECH,,ALPHARETTA,GA,30004-8995,UNITED STATES,ROBERT HANSEN,PRESIDENT,,,
1453,BATON ROUGE HARLEY-DAVIDSON,5853 SIEGEN LN,,,BATON ROUGE,LA,70809-4175,UNITED STATES,MALCOLM ZANCA,GENERAL MGR,,,
1478,HEBERT BLIND CO INC,4308 GOVERNMENT ST,,,BATON ROUGE,LA,70806,UNITED STATES,RUSSELL BUTLER,OWNER,,,
1486,HENRY RAMOS,14323 MARWOOD DRIVE,INDUSTRIAL HYGIENIST,,BATON ROUGE,LA,70816,UNITED STATES,HENRY RAMOS,CONSULTANT,,,MN
1488,HERB'S TRAILERS INC,P O BOX 87458,,,BATON ROUGE,LA,70879,UNITED STATES,BOB GRAVES,SALES MGR,,,NON-M WBE
1498,HI NABOR SUPERMARKET LLC,SEE ALTERNATE ADDRESS,,,BATON ROUGE,LA,70817,UNITED STATES,DEBRA SEHER,ACCT REC,,,
1508,HNTB CORP,10011 PERKINS ROWE STE 640,,,BATON ROUGE,LA,70810,UNITED STATES,BLAISE M CARRIERE,VICE PRESIDENT,,,
1513,HOLMES BUILDING MATERIALS,6190 GREENWELL SPRINGS RD,,,BATON ROUGE,LA,70806-1211,UNITED STATES,JOHN HOLMES,VICE PRESIDENT,,,
