RECORD TYPE,PURCHASE ORDER NUMBER,ITEM NUMBER,ITEM DESCRIPTION,ITEM UNIT COST,ITEM QUANTITY ORDERED,ITEM UNIT OF MEASURE,ITEM TOTAL COST,UNIQUE ID
D,PO160190,1,PROFESSIONAL SERVICES CONTRACT - VENDOR TO         PROVIDE WEEKLY AND MONTHLY MAINTENANCE FOR THE     WATER FOUNTAIN/WALL PER WRITTEN CONTRACT.          APROVED IN THE 2016 BUDGET - ORDINANCE 16143       TERM: 01/01/16 TO 12/31/16,26000,1,JB,26000,PO1601900001
D,P9700742,1,GEOTECHNICAL ENGINEERING SERVICES FOR BAYOU        FOUNTAIN DRAINAGE IMPROVEMENTS (STREAM INDEX #22)  SIEGEN LANE TO GARDERE LANE CITY-PARISH PROJECT   NO. 96-DR-LA-0037 STATE PROJECT NO. 576-17-0007.  IN ACCORDANCE WITH YOUR WRITTEN CONTRACT.,13500,1,JB,13500,P97007420001
D,PO130546,1,PROFESSIONAL SERVICES TO PROVIDE SERVICES TO VIDEO TAPE EDIT AND DELIVER FINISHED PRODUCT TO PUBLIC  INFORMATION.                                       CONTRACT TIME: 01/01/2013 THROUGH 12/31/2013.      SBE/NONE.,50000,1,JB,50000,PO1305460001
D,PO140228,1,PROFESSIONAL SERVICES TO PROVIDE SERVICES TO VIDEO TAPE EDIT AND DELIVER FINISHED PRODUCT TO PUBLIC  INFORMATION.                                       CONTRACT TERM: JANUARY 1 2014 THRU DECEMBER 31   2014.,50000,1,JB,50000,PO1402280001
D,PO090538,1,RETAINER CONTRACT FOR ROADWAY LIGHTING             DESIGN SERVICES GREEN LIGHT PLAN HALF              CENT SALES TAX ROAD IMPROVEMENT PROGRAM            PER COUNCIL RESOLUTION NO. 46605 AND               WRITTEN CONTRACT.,350000,1,JB,350000,PO0905380001
D,PO160751,1,THE AGREEMENT WILL COVER THE EXECUTION OF THE      MURAL INSTALLATION AND PHOTOGRAPHY INSTRUCTION AS  PART OF THE MAYOR-PRESIDENT'S LOVE OUR COMMUNITY   SUMMER YOUTH EMPLOYMENT PROGRAM.  RESOLUTION #     52218,75000,1,JB,75000,PO1607510001
D,PO170461,2,**************************************************         CHANGE ORDER TO ADD ADDITIONAL WORK        REMOVE ADDITIONAL LAYERS OF SHINGLES $12.00                  PER SQUARE                       $288.00 REMOVE ENTIRE FLAT ROOF AND DISPOSE OF DEBRIS,2200,1,JB,2200,PO1704610002
D,PO160103,1,PROFESSIONAL SERVICES AGREEMENT FOR                OPERATOR TO RUN REMOTE                             CAMERA  FOR METRO COUNCIL PLANNING COMMISSION    SPECIAL MEETINGS AND EBRP SCHOOL BOARD            MEETINGS FOR METRO CHANNEL 21,50000,1,YR,50000,PO1601030001
D,PO141912,2,*********SUPPLEMENTAL AGREEMENT NO. 6************* FOR CONSTRUCTION ADMINISTRATION SERVICES FOR THE   AIRFIELD DRAINAGE-NORTHWEST BOX CULVERT. COUNCIL   RESOLUTION NO. 52150. AGENCY CONTACT: CARY MORGAN  (225) 355-0333. VENDOR CONTACT: ANN TRAPPEY,79287,1,JB,79287,PO1419120002
D,PO161171,3,.........CHANGE ORDER............................. THIS CHANGE IS ISSUED TO ADD LINE 3.               19 CHILDREN CHAIRS TO BE CLEANED @ $2.64 EACH.     ..................................................,2.64,19,EA,50.16,PO1611710003
D,PO161006,1,APPRAISAL SERVICES ASSOCIATED WITH THE             GLEN OAKS DRIVE STREET IMPROVEMENTS                (PLANK ROAD TO MCCLELLAND DRIVE)                   CITY PARISH PROJECT NO 12-CS-HC-0047               RESOLUTION # 52240,37357,1,JB,37357,PO1610060001
D,PO131557,1,TMB-5491/LA BIOCODE                                FOR USE AT THE JONES CREEK AND BLUEBONNET          REGIONAL LIBRARIES.  PRICED PER GALLON.            .                                                  PURCHASED IN ACCORDANCE WITH STATE  OF LOUISIANA,8.62,614,GL,5292.68,PO1315570001
D,PO131557,2,TMB-517/LA COOLING WATER CONTROL AGENT FOR USE AT  THE BLUEBONNET AND JONES CREEK REGIONAL LIBRARIES. PRICED PER GALLON.                                 .                                                  PURCHASED IN ACCORDANCE WITH STATE  OF LOUISIANA,4.37,532,GL,2324.84,PO1315570002
D,PO090538,2,*******SUPPLEMENTAL AGREEMENT NO. 1*********       RETAINER CONTRACT FOR ROADWAY LIGHTING             DESIGN SERVICES GREEN LIGHT PLAN HALF              CENT SALES TAX ROAD IMPROVEMENT PROGRAM            PER COUNCIL RESOLUTION NO. 50887,118300,1,JB,118300,PO0905380002
D,PO151337,2,**************************************************        CHANGE ORDER TO ADD ADDITIONAL WORK         REMOVE ALL OLD GAS PIPE IN ATTIC OR UNDER HOUSE    PLUG HOLES AND INSTALL NEW GAS PIPE TO APPLIANCES: HOT WATER HEATER STOVE & CENTRAL UNIT    $2150.00,2600,1,JB,2600,PO1513370002
D,PO101188,1,ATM-EOC EMERGENCY POWER SYSTEMS ASSESSMENT         CITY PARISH PROJECT NO. 10ASD-CP-0039.             PER WRITTEN AGREEMENT.,6500,1,JB,6500,PO1011880001
D,PO111376,1,PROFESSIONAL SERVICES AGREEMENT FOR EMS STATION    #3 & #9 METER SEPARATION DESIGN SERVICES;          CITY-PARISH PROJECT NO. 11-ASD-CP-0022.            PER WRITTEN CONTRACT,4000,1,JB,4000,PO1113760001
D,PO120709,1,ELECTRICAL- DATA/TELEPHONE DESIGN SERVICES         FOR THE MEZZANINE & FIRST FLOOR CONFERENCE         ROOM AT THE BRJH BLDG.                             12-ASD-CP-0003                                     CONTRACT TIME: UPON SPECIFIC NOTICE FROM DIRECTOR,5050,1,JB,5050,PO1207090001
D,PO131647,3,PROFESSIONAL SERVICES FOR GENERATOR ASSESSMENT     & DESIGN FOR DPW PERMIT AND INSPECTION DIVISION    C/P PROJECT NO. 13-ASD-CP-0027                     CONTRACT TIME: UPON NOTICE FROM DIRECTOR OF PUBLIC WORKS TO PROCEED.,1250,1,JB,1250,PO1316470003
D,PO170168,1,CONSULTANT WILL PROVIDE WILDLIFE HAZARD            MANAGEMENT SERVICES.  APPROVED BY ORDINANCE 16405  AND WRITTEN CONTRACT.                              TERM: 01/01/17 TO 12/31/17,30000,1,JB,30000,PO1701680001
D,PO170415,2,OCD PROJECT: CDBG-16-LR-0002                       ADDRESS: 6316 CALLAHAN ST.                         OWNER: EVERLINA STEWART,1000,1,JB,1000,PO1704150002
D,PO151072,2,****CHANGE ORDER # 1*******TRACKING # 165928****** RESOLUTION #: 52524. ZACHARY AREA TRANSMISSION     NETWORK INPROVEMENTS PROJECT-PHASE V. PROJECT NO.  06-WC-IF-014E. NEW LUMP SUM ITEMS FOR ADDITIONAL   WORK. TOFACILITATE THE PROJECT; CONTRACT TIME,110114,1,JB,110114,PO1510720002
D,PO101460,1,LEASE AGREEMENT AMENDMENT 1 TO INCLUDE THE MONTH  OF SEPTEMBER 2010. MAY THRU AUGUST PAID ON        PAYMENT VOUCHERS. PER WRITTEN AGREEMENT.,7000,1,MO,7000,PO1014600001
D,PO101503,1,LEASE AGREEMENT WITH MCKINLEY HIGH SCHOOL ALUMNI   ASSOCIATION TO HOUSE THE LEAP PROGRAM.  PER        WRITTEN AGREEMENT.,48900,1,JB,48900,PO1015030001
D,PO131882,1,DESIGN REPLACEMENT LIGHTING FOR EXISTING POLE-     MOUNTED BOLLARD-MOUNTED AND WALL-MOUNTED         LIGHTING & EXTERIOR LED LIGHTING AND TO            INCORPORATE THE REPAIR OF EXISTING ELECTRICAL      FEEDERS WITH NEW FEEDERS INTO THE DESIGN AT THE,22500,1,EA,22500,PO1318820001
D,PO170193,1,CONTINUATION OF COPIER RENTAL ON SHARP MX-3640N    COLOR DIGITAL COPIER/SCAN/PRINTER SYSTEM PER       STATE CONTRACT #4400004076 LINE ITEM # 1          PRODUCT CATEGORY 44101501                          MDM CATALOG REF#934845,216.9,5,MO,1084.5,PO1701930001
D,PO170775,3,EXTENDED MAINTENANCE RENEWAL ON                    JBOD ADDITIONAL SERVER SPACE                       1ST DISTRICT                                       EMA-JBOD                                           PERIOD: 01-01-17 THROUGH 12-31-17,1795,1,EA,1795,PO1707750003
D,PO170775,4,EXTENDED MAINTENANCE RENEWAL ON                    DVD WORKSTATION / RIMAGE                           1ST DISTRICT                                       EMA-DVD                                            PERIOD: 01-01-17 THROUGH 12-31-17,1913,1,EA,1913,PO1707750004
D,PO170197,1,PROFESSIONAL SERVICES AGREEMENT RICHARD GRANGER   SCOPE BI-ANNUAL HOUSEHOLD HAZARDOUS WASTE          COLLECTION EVENTS. CONTRACT PERIOD FROM            1/1/17 THRU 12/31/17                               AGENCY CONTACT: SUSAN HAMILTON 225-389-5194,4000,1,JB,4000,PO1701970001
D,PO170196,1,COPIER RENTAL:  SHARP MX-M363U BLACK AND WHITE     COPIER/PRINTER SCAN SYSTEM. INCLUDES ALL PARTS    LABOR TONER & SUPPLIES EXCLUDES PAPER. INCLUDES  6000 B/W PRINTED COPIED PAGES PER MONTH.  PAID    FIRST MONTH ON PV# 11190569.,120.6,5,MO,603,PO1701960001
D,PO170782,1,RENTAL OF COPIER FOR SOUTH MAINTENANCE             SHARP MX-3640N COLOR COPIER/PRINTER/SCAN SYSTEM    JULY 12017 THRU DECEMBER 31 2017,186.9,6,MO,1121.4,PO1707820001
D,PO170783,1,RENTAL OF COPIER FOR EAST MAINTENANCE              SHARP MX-3640N COLOR COPIER/PRINTER/SCAN SYSTEM    JULY 1 2017 THRU DECEMBER 31 2017,186.9,6,MO,1121.4,PO1707830001
D,PO140178,4,*************CHANGE ORDER NO. 3******************* TO DECREASE FUNDS BY $300.00 TO ADD TO PO#140180   FLOYD HEURTIN JR MSW.,0,1,JB,0,PO1401780004
D,PO140007,1,LEASE AGREEMENT SECOND YEAR WITH MCKINLEY HIGH     SCHOOL ALUMNI ASSOC. TO HOUSE THE WIA YOUTH YEAR   ROUND PROGRAM FOR THE PERIOD JANUARY 1 2014 THRU  DECEMBER 31 2014. SECOND YEAR TO THE ORIGINAL CON TRACT W/ PO#130007.,66360,1,EA,66360,PO1400070001
D,PO141198,1,CONTRACT FOR ARCHITECTURAL SERVICES                CITY HALL PLAZA GREENSPACE                         IMPROVEMENTS/RENOVATION                            CITY PARISH PROJECT NO. 13-DD-CI-0063              PER COUNCIL RESOLUTION 50846 AND WRITTEN CONTRACT.,310000,1,JB,310000,PO1411980001
D,PO170199,16,"RUBBER STAMP YOUTH 1"" X 1""",2.25,14,EA,31.5,PO1701990016
D,PO160178,2,BAR CODE FONT KIT (MODEL: MX-PF10). LINE #1044     STATE CONTRACT #4400004067 LINE 1044,8.8,6,MO,52.8,PO1601780002
D,PO160189,2,COPY FOR ALL COLOR COPIES SHARP MX-3640N COLOR    COPIER                                             STATE CONTRACT #4400004076 CATALOG #934847         *                                                  AGENCY CONTACT: PAM PELTIER @ 389-3076 EXT 200,0.04,17000,EA,731,PO1601890002
D,PO160160,2,PO160160 AMOUNT REDUCED BY $3458.33. AMOUNT HAS   ALREADY BEEN PAID TO PHYSICIAN USING A             PAYMENT VOUCHER (PAYMENT VOUCHER NO. 11208457).,0,1,EA,0,PO1601600002
D,PO170789,4,DELL USB SOUNDBAR AC511                            QUOTE 300012883017.1                               STATE CONTRACT#: 4400002525 LINE# 1,27.99,10,EA,279.9,PO1707890004
D,PO150414,1,TO PROVIDE MEDICAL DIRECTION TO THE DEPARTMENT OF  EMERGENCY MEDICAL SERVICES FOR THE PERIOD OF       JANUARY 1 2015 THROUGH DECEMBER 31 2015 FOR THE  AMOUNT NOT TO EXCEED $108000 PAYABLE SEMI-MONTHLY PER WRITTEN CONTRACT. *,108000,1,EA,108000,PO1504140001
D,PO160161,1,STREETSCAPE IMPROVEMENTS FLORIDA STREET            (RIVER ROAD ADN 3RD STREET)                        LAFAYETTE STREET (MAIN AND CONVENTION STREET)      CITY PARISH PROJECT NO. 15-SW-DD-0002              RESOLUTION: 51865 RECORDED: 01-28-2016,251268,1,JB,251268,PO1601610001
D,PO170789,5,LOGITCH WIRELESS COMBO MK520                       QUOTE 300012883017.1,42.99,10,EA,429.9,PO1707890005
D,PO150960,1,CITY HALL 9TH FLOOR PHASE II PARISH ATTORNEY       OFFICE LIGHTING                                    CPL 24GRLED38F1UNV L83 5 CD1                       2 X 4 LED LAYIN 3800 LUMEN                         PRODUCT # S0224881.002,78.08,78,EA,6090.24,PO1509600001
D,PO160189,3,CONTINUATION OF COPIER RENTAL ON SHARP MX-3640N    COLOR DIGITAL COPIER/SCAN/PRINTER SYSTEM PER       STATE CONTRACT #4400004076CATALOG #934845         CONTRACT EFFECTIVE: JULY 01 2016 THRU DEC.312016 **PER REQUEST CONTRACT EXTENDED (6) MONTHS,216.9,6,MO,1301.4,PO1601890003
D,PO160246,2,****************AMENDMENT NO. ONE***************** PROFESSIONAL SERVICES AGREEMENT EXTENDING CONTRACT THRU DECEMBER 31 2017. NO CHANGE IN CONTRACT      VALUE. TRACKING NO. 166193.,0,1,EA,0,PO1602460002
D,PO130876,1,REFRIGERATOR ELECTROLUX MODEL NO. EI32AR65JS      GRAY ON SIDES.  PROFESSIONAL SERIES STAINLESS     STEEL                                              .                                                  VENDOR CONTACT:  TERESA MCLEOD,1999,2,EA,3998,PO1308760001
D,PO160187,1,TRAINING - TO SECURE SERVICES FOR CUSTOMIZED       STAFF. PROFESSIONAL DEVELOPMENT TRAINING TO BE     CONDUCTED MARCH 11 2016. TWO PROGRAMS EACH       APPROXIMATELY 2 1/2 HOURS IN LENGTH.               CHECK IS NEEDED BY MARCH 9TH.,4500,1,JB,4500,PO1601870001
D,PO161290,1,"BAKER BRANCH LIBRARY                                                                                  TWELVE (12) LEVELOR RIVIERA 1"" ALUMINUM BLINDS IN  COLOR RAW UMBER",990,1,EA,990,PO1612900001
D,PO150960,2,CPL EUS609G SURFACE UNV EXIT                       PRODUCT # SO224881.003,113.65,4,EA,454.6,PO1509600002
D,PO160188,1,PROFESSIONAL SERVICES CONTRACT TO PROVIDE A FULL   COVERAGE MAINTENANCE AGREEMENT TO MANAGE MAINTAIN REPAIR AND IF NECESSARY REPLACE HVAC PARTS AND    COMPONENTS PER CONTRACT RESOLUTION NO. 51874      TERM: 01/01/16 TO 12/31/16.,189996,1,JB,189996,PO1601880001
D,PO151061,2,********CHANGE ORDER # 1********TRACKING # 165920* SALES TAX STREET AND ROAD REHABILITATION PROJECT   14-09 - WINBOURNE AVENUE. PROJECT NO.14-CR-ST-0026 AMEND PAGE 85 OF THE SUPPLEMENTAL SPECIFICATIONS   1152-3.1 CONTROL OF TRAFFIC. NO ADDITIONAL COST,0,1,JB,0,PO1510610002
D,PO150440,11,************CHANGE ORDER #3****CONTINUED           PROJECT NO. 14-FM-MS-0012. LUMP SUM OF             $1946686.25 BEING SPLIT BETWEEN 6 FUNDING        SOURCES.,917587.86,1,JB,917587.86,PO1504400011
D,PO170796,1,PROVIDER WILL RECRUIT A MINIMUM OF 30 YOUTH TO     PARTICIPATE IN THE (YES) YOUTH EMPOWERMENT         SOLUTIONS PROGRAM. PROVIDE GROUP LEADERS AND       ASSISTANT GROUP LEADERS. IMPLEMENT THE YOUTH       EMPOWERMENT SOLUTIONS CURRICULUM FROM THE,16000,1,JB,16000,PO1707960001
D,PO160199,1,RENTAL OF XEROX WORK CENTER WC7835P SEG 4          STATE CONTRACT #4400004078 CATALOG #934709         CONTRACT EFFECTIVE 01/01/2016 TO 06/30/2016        LINE #1,187.4,6,MO,1124.4,PO1601990001
D,PO160199,2,COST PER COPY FOR EXCESS BLACK COPIES OVER MCA OF  10000. LINE #1                                    STATE CONTRACT #4400004078 CATALOG # 934710,0,3000,EA,12,PO1601990002
D,PO151061,4,***CHANGE ORDER # 3 & FINAL*****TRACKING # 165922* RESOLUTION # 52363 (CHANGE ORDER # 3) INCREASE/    DECREASE CONTRACT ITEMS TO REFLECT FINAL           QUANTITIES ADJUSTMENT IN QUANTITIES; RESULTING    IN A CREDIT AMOUNT OF $45299.21.,0,1,JB,0,PO1510610004
D,PO151032,8,"HVW7216 HON-GSA ARRIVE 72""WX16""D TOP FOR STACK ON  STORAGE                                            SELECT EDGE .C EDGE: COVE; PROPERTY TAG #127908    SELECT FINISH .NN FINISH: MAHOGANY                 STATE CONTRACT 409946 LINE #1",270.18,1,EA,270.18,PO1510320008
D,PO151179,2,***************** CHANGE ORDER 1 ***************** .                                                  CHANGE ORDER DONE TO ADD AN ADDITIONAL $6635.00   TO PO151179 FOR UNFORSEEN WORK OF THE CARPET THAT  WAS UNDER THE CUBICLES AT DHDS HEADSTART.,6635,1,JB,6635,PO1511790002
D,PO160622,2,3/4 ALUMINUM CONDUIT                               COG CON75A,1.15,2000,EA,2300,PO1606220002
D,PO151123,2,1 YEAR RENEWAL ESSENTIAL APP SUPPORT 24X7 MOBILITY  RFS4000 6 ADAPTIVE AP LICENSE UPGRADE S/N         CCV00001823 CCV00001824 CCV00001825 CCV00001826 EFFECTIVE: 10/1/15 - 9/30/16.,53,4,EA,212,PO1511230002
D,PO170798,1,THE SERVICE PROVIDER WILL SERVE AS GROUP LEADER    FOR THE BR BCJI/YOUTH EMPOWERMENT SOLUTIONS (YES)  PROGRAM AND COMMUNITY OUTREACH. THEY WILL RECRUIT  STUDENTS SCHOOLS AND ORGANIZE YOUTH LED           LEADERSHIP ACTIVITIES WITHIN THEIR COMMUNITY.,5000,1,JB,5000,PO1707980001
D,PO151143,1,TRUCK: FORD F150 EXTENDED CAB 2WD 2016            STATE CONTRACT #4400005973  LINE 87                COLOR: EXTERIOR FACTORY WHITE/INTERIOR COMPATIBLE  MARK FOR DEPARTMENT OF ENVIRONMENTAL SERVICES      WASTEWATER COLLECTION,21004,1,EA,21004,PO1511430001
D,PO160622,1,1/2 ALUMINUM CONDUIT                               COG CON50A,1.02,1000,EA,1020,PO1606220001
D,PO160200,7,COST PER COPY SEGMENT 4 FOR EXCESS BLACK COPIES    OVER MCA OF 10000.                                STATE CONTRACT: 4400005237 LINE #1 CATALOG 948146  CONTRACT EFFECTIVE 07/01/16 THRU 12/31/16          ** PER REQUEST CONTRACT EXTENDED (6) MONTHS. **,0,1,EA,0,PO1602000007
D,PO161290,2,"SCOTLANDVILLE BRANCH LIBRARY                                                                          FIFTEEN (15) HUNTER DOUGLAS CD80 1"" ALUMINUM       BLINDS IN ONE STANDARD COLOR.",950,1,EA,950,PO1612900002
D,PO161290,3,"EDEN PARK BRANCH LIBRARY                                                                              TWELVE (12) HUNTER DOUGLAS CD80 1"" ALUMINUM BLINDS  IN COLOR BRONZE. TOTAL $822.00.",1882,1,EA,1882,PO1612900003
D,PO170799,1,PROVIDER WILL SERVE AS A GROUP LEADER FOR THE BR   BCJI/YOUTH EMPOWERMENT SOLUTIONS (YES) PROGRAM     AND COMMUNITY OUTREACH. THEY WILL RECRUIT STUDENTS  SCHOOLS AND ORGANIZE YOUTH LED LEADERSHIP        ACTIVITIES WITHIN THEIR COMMUNITY.,5000,1,JB,5000,PO1707990001
D,PO151147,1,SUV: CHEVROLET TRAVERSE                            STATE CONTRACT #4400005966 LINE 67  2016           COLOR: EXTERIOR FACTORY WHITE/INTERIOR COMPATIBLE  MARK FOR DEPARTMENT OF ENVIRONMENTAL SERVICES      WASTEWATER COLLECTION,23356,1,EA,23356,PO1511470001
D,PO110197,1,PROVIDES EMERGENCY SHELTER SERVICES TO HOMELESS    POPULATION UNDER THE 2010 HUD AND ESG PROGRAM      TIME PERIOD:OCTOBER 1 2010 TO SEPTEMBER 30 2012  PER WRITTEN AGREEMENT,9350,1,JB,9350,PO1101970001
D,PO151146,1,TRUCK: FORD F150 1/2 TON EXTENDED CAB 2WD 2016     STATE CONTRACT # 4400005973 LINE 87                COLOR: EXTERIOR FACTORY WHITE/INTERIOR COMPATIBLE  MARK FOR DEPARTMENT OF ENVIRONMENTAL               WASTEWATER COLLECTION,21004,1,EA,21004,PO1511460001
D,PO151149,1,TRUCK: FORD F150 EXTENDED CAB 2WD  2016           STATE CONTRACT #4400005973  LINE 87                COLOR: EXTERIOR FACTORY WHITE/INTERIOR COMPATIBLE  MARK FOR DEPARTMENT OF ENVIRONMENTAL SERVICES      WASTEWATER COLLECTION,21004,1,EA,21004,PO1511490001
D,PO160622,12,3/4 X CLOSE ALUMINUM NIPPLE                        COD NIP75XCLA,4.56,12,EA,54.77,PO1606220012
D,PO151148,1,TRUCK: FORD F250 PICKUP 3/4 TON HD 2WD 2016        STATE CONTRACT #4400005970 LINE 93                 COLOR: EXTERIOR FACTORY WHITE/INTERIOR COMPATIBLE  MARK FOR DEPARTMENT OF BUILDING AND GROUNDS        BUILDING MAINTENANCE,20113,2,EA,40226,PO1511480001
D,PO161230,5,APX6000 700/800 X3 MODEL 2.5 PORTABLE              (H98UCF9W68N) INCLUDES: IMPRES                    2 LIION R IP68 3400T (PMNN4486) CHARGER           (NNTN8863A) REMOTE SPEAKER MICRROPHONE            (PMMN4106A) PROGRAMMING OVER P25 MULTIKEY WIFI,4686.75,1,EA,4686.75,PO1612300005
D,PO160178,1,COPIER RENTAL - SEGMENT 3 SHARP MX-M264N DIGITAL  COPIER/PRINTER 26CPM DIGITAL COPIER/MX-FN23 INNER  FINISHER/MX-PK11 POSTSCRIPT 3 EXP. KIT/MX-HD12     HARD DISK DRIVE EXP KIT/MX-DS17 HIGH STAND/AR-     D5133NT DIGITAL POWER FILTER. INCLUDES A MONTHLY,124.1,6,MO,744.6,PO1601780001
D,PO160178,3,SUPER G3 FAX EXPANSION KID (MODEL #MX-FX11).       STATE CONTRACT #4400004067 LINE 01009              *                                                  AGENCY CONTACT: ARESA CHRISTOPHE @ 389-5531,16,6,MO,96,PO1601780003
D,PO160622,14,"UGRD FEED CONN.20""-.40"" ALU                      HUB UFC0001",5.7,12,EA,68.4,PO1606220014
D,PO160622,15,"STR FEM CORD CON.50-.63"" 3/4"" ALUM              HUB FHC1034",14.78,12,EA,177.36,PO1606220015
D,PO160622,16,400W HPS LMP ED18MOG CLR                           PHI C400S51ALTO,13.88,100,EA,1388,PO1606220016
D,PO160622,17,"1/2"" WATERTITE HUB UB                              ARL WH1",2.54,6,EA,15.23,PO1606220017
D,PO160622,18,"3/4"" WATERTITE HUB UB                              ARL WH2",2.89,6,EA,17.33,PO1606220018
D,PO160622,19,"3/4"" RGD T COND. BODY CVR AND GSKT AL              CRO T25CGN",4.39,12,EA,52.74,PO1606220019
D,PO110974,1,FUNDS PROVIDED TO UNDERTAKE PUBLIC SERVICE         ACTIVITIES TO BENEFIT LOW TO MODERATE INCOME       PERSONS PER COUNCIL RESOLUTION NO. 48072 AND       WRITTEN CONTRACT.CONTRACT TERM: 01/01/2011 THROUGH 12/31/2011 FEDERAL TAX ID#:72-0702820,25000,1,JB,25000,PO1109740001
D,PO120396,1,FUNDS PROVIDED TO UNDERTAKE PUBLIC ACTIVITIES TO   BENEFIT LOW TO MODERATE INCOME PERSONS PER COUNCIL RESOLUTION NO. 48734 AND WRITTEN CONTRACT.         CONTRACT TERM 01/31/12-12/31/12                    CDBG-11-PS-0007,25000,1,JB,25000,PO1203960001
D,PO161291,1,VENDOR IS TO PROVIDE INSURANCE INSTALLATION      CONFIGURATION AND DELIVERY OF A NEW PAIR OF        NETSCALER MPX 8005S ENTERPRISE EDITION PER         SPECIFICATIONS.,23000,1,JB,23000,PO1612910001
D,PO160179,1,COPIER RENTAL - SEGMENT 3 SHARP MX-264N DIGITAL   COPIER/PRINTER 26CPM DIGITAL COPIER/MX-FN23 INNER  FINISHER/MX-PK11 POSTCRIPT 3 EXP. KIT/MX-HD12      HARD DISK DRIVE EXP KT/MX-DS17 HIGH STAND/AR-      D5133NT DIGITAL POWER FILTER. INCLUDES A MONTHLY,124.1,6,MO,744.6,PO1601790001
D,PO160181,1,COPIER RENTAL - SEGMENT 3 SHARP MX-M264N DIGITAL  COPIER/PRINTER 26 CPM DIGITAL COPIER/MX-FN23 INNER FINISHER/MX-PK11 POSTSCRIPT 3 EXP. KIT/MX-HD12     HARD DISK DRIVE EXP KIT/MX-DS17 HIGH STAND/        AR-D5133N5 DIGITAL POWER FILTER INCLUDES A MONTHLY,124.1,6,MO,744.6,PO1601810001
D,PO160740,7,35 YR GOLD PLATED LAPEL PIN WITH THREE 3 PT RUBIES AND THREE 3 PT CZ DIAMONDS,18.5,3,EA,55.5,PO1607400007
D,PO160740,8,40 YR GOLD PLATED LAPEL PIN WITH THREE 3 PT RUBIES AND FOUR 3 PT CZ DIAMONDS,20.2,7,EA,141.4,PO1607400008
D,PO160740,9,***ITEM ADDED IN ERROR***,0,1,EA,0,PO1607400009
D,PO141573,8,*****************CHANGE ORDER 1****************    COPY COSTS FOR BLACK & WHITE COPIES BASED ON07     720000 COPIES PER MONTH PER CONTRACT A12-0607     FOR THE PERIOD MAY 1 2015 - SPETEMBER 30 2015.   YEAR 3 OF A 3 YEAR CONTRACT. $0.0065/COPY,4680,5,MO,23400,PO1415730008
D,PO120396,2,*************INTERNAL CHANGE ORDER**************** CHANGE ORDER DONE TO CORRECT THE CONTRACT START    DATE ON THE PO FROM 01/31/12 TO 01/01/12.,0,1,JB,0,PO1203960002
D,PO120552,3,AMENDMENT # 2 - EXTENSION FROM AUGUST 31 2014     - DECEMBER 31 2014,0,1,,0,PO1205520003
D,PO120552,4,AMENDMENT # 3 - EXTENSION FROM DECEMBER 31 2014   - MARCH 31 2015,0,1,,0,PO1205520004
D,PO120743,1,TO PROVIDE HOMELESS ASSISTANCE UNDER               SHP-10-PS-0013 CONTRACT TIME: THIS AGREEMENT IS    FOR A TERM OF 12 MONTHS 01/01/2012 AND ENDING ON   12/31/2012. FOR PROJECT # LA0157B6H041002.,19971,1,JB,19971,PO1207430001
D,PO160673,2,DUAL CONTROL ADDER                                 FVS458MTD,190.23,2,EA,380.46,PO1606730002
D,PO160673,3,AFTER COOLER                                       FVA531AMTD,386.88,2,EA,773.76,PO1606730003
D,PO160673,4,120 GALLON TANK                                    *                                                  VENDOR CONTACT: JONATHAN WILLIAMS @ 225-755-2240   AGENCY CONTACT: JASON GANAWAY AND BUBBA CASHIO @   225-389-3168,503,2,EA,1006,PO1606730004
D,PO130665,1,FUNDS PROVIDED TO UNDERTAKE PUBLIC ACTIVITIES TO   BENEFIT LOW TO MODERATE INCOME PERSONS PER COUNCIL RESOLUTION NO. 49574 AND WRITTEN CONTRACT.         CONTRACT TERM 01/01/13-12/31/13                    CDBG-12-PS-0009,25000,1,JB,25000,PO1306650001
D,PO160085,1,BLANKET ORDER FOR PARTS:                           STATE CONTRACT # 4400007550                        BLANKET PO FOR SUPPLIES FROM 1/1/16 THRU 08/31/16  ANY SINGLE CATALOG ITEM WITH A NEW DISCOUNT PRICE  IN EXCESS OF $5000 IS EXCLUDED FROM THIS CONTRACT,100000,1,EA,100000,PO1600850001
D,PO151165,1,CARTRIDGE TONER HP CF400X BLACK #201X,84.75,16,EA,1356,PO1511650001
D,PO151165,2,CARTRIDGE TONER HP CF401X CYAN #201X,95.25,16,EA,1524,PO1511650002
D,PO151165,3,CARTRIDGE TONER HP CF402X YELLOW #201X,95.25,16,EA,1524,PO1511650003
D,PO151165,4,CARTRIDGE TONER HP CF403X MAGENTA #201X           **MARK FOR MICHELLE CALVIN                         .                                                  VENDOR CONTACT: DENNY PORTIER - 504-833-1964       .,95.25,16,EA,1524,PO1511650004
D,PO160236,2,TRASH PROCESSING AND DISPOSAL                      ****INTERNAL CHANGE ORDER****TRACKING # 16645***** THIS IS A BLANKET PURCHASE ORDER AND WAS BASED     ON AN ESTIMATE.  THE INVOICE FOR THE MONTH OF      DECEMBER NEEDS TO BE PAID SO ADDITIONAL FUNDS NEED,65000,1,MO,65000,PO1602360002
